LojaID	Ar_Condicionado_Split	Ar_Condicionado_Multisplit	Sistema_Ventilacao	Aquecimento_Central	Bomba_de_Calor	Desumidificadores	Ventoinhas	Termoacumuladores	Lareiras_Salamandras	Climatizadores_Evaporativos
1	180723,78	125480,57	217559,94	549817,39	139259,14	215837,25	261940,47	377096,70	461514,29	438662,63
2	388168,09	424389,76	252983,08	354119,61	635303,17	502248,69	437893,36	603597,63	608336,17	443451,91
3	629540,46	476703,34	200736,30	476258,18	277361,28	473610,00	158845,73	348841,67	623882,90	631987,22
4	266646,23	305687,16	302212,18	363159,97	157984,11	488185,66	368147,39	360014,28	220875,43	157482,41
5	175655,94	264541,75	344310,85	337414,58	518584,75	257089,73	335758,25	312152,55	597294,45	308858,79
6	289363,71	517178,94	576824,73	114256,31	575976,90	147303,71	425217,60	300415,92	612176,36	322293,87
7	260108,20	176264,79	408029,14	245250,45	443020,43	609281,60	236813,38	120062,40	274143,06	499457,44
8	388417,55	230293,56	556998,48	155626,16	96471,31	251729,45	601111,81	438664,45	241042,78	198985,61
9	551159,38	165349,86	387397,64	560560,80	137966,72	515701,92	369763,77	296815,99	605774,99	116228,25
10	494309,01	338729,51	438890,91	388119,54	490997,17	454969,31	590361,06	551314,12	583689,20	151760,60
11	320524,21	393708,96	514195,07	469823,18	493610,43	457629,46	376258,65	538612,30	423982,63	485445,36
12	513070,61	331969,47	305745,97	87944,86	321503,44	600024,03	393907,14	157081,19	391022,50	624384,28
13	472135,91	322099,41	350021,76	188291,67	506748,85	502910,71	350118,90	121807,49	97226,34	582711,32
14	183001,13	109393,29	393250,03	347818,19	486651,51	271599,17	587783,44	364577,24	286965,72	91261,02
15	339175,81	311618,80	156291,96	465811,13	637320,70	172483,56	253573,53	409016,30	338756,03	266759,18
16	193539,71	175959,98	399419,31	622966,33	126338,35	120821,29	569961,87	194546,20	98856,18	373083,71
17	558237,14	174895,45	104274,69	207653,28	606303,17	494540,19	340063,48	191936,73	161751,53	456363,48
18	611843,75	473331,22	304171,70	386390,58	127637,94	345499,03	111826,65	268819,10	172525,17	434488,00
19	195263,73	557969,32	435368,75	389491,69	287140,55	625542,19	631496,05	422002,07	344639,14	547208,68
20	414165,99	345342,60	234376,75	183465,74	397508,03	151685,77	247384,60	116758,37	598705,57	429476,03
21	421658,97	106039,66	311333,68	540076,16	211423,64	233128,44	426108,75	417242,36	485705,49	248477,16
22	534473,04	229381,44	586224,40	482648,52	255557,43	480416,56	387014,54	377585,89	496556,01	152042,61
23	110466,90	453158,40	322553,31	130473,90	212351,62	248395,16	614092,84	410085,91	186813,77	100779,17
24	413895,97	337041,67	104897,52	313036,71	630344,57	519777,44	382122,83	122558,91	212674,22	512100,95
25	490832,36	287872,37	619693,50	217185,51	523455,02	194457,70	145375,03	257052,30	637391,79	126226,94
26	153897,64	361951,21	281993,64	324724,25	484546,26	198301,43	535500,03	613287,34	372249,27	574736,76
27	247115,42	144757,79	330698,05	636502,54	228009,91	242792,66	475059,08	138015,11	243534,79	431565,16
28	396258,72	299562,83	482371,97	314810,84	160176,62	555224,72	384095,98	566167,18	326393,80	353575,23
29	363636,48	390056,56	603639,58	101155,63	528873,02	364151,02	453455,08	227306,10	624287,69	189549,32
30	126724,04	316321,98	110657,54	312402,46	547551,81	225407,87	360065,35	224817,65	224225,01	592988,52
31	369985,90	128508,46	421774,68	596975,42	248096,65	585371,58	198604,65	515784,07	411668,71	240418,49
32	288750,93	330192,74	107751,53	623609,24	446051,98	229880,02	414504,83	174257,10	474065,92	380157,14
33	438577,73	346206,13	276312,54	204487,16	445243,73	453500,95	523960,18	279859,82	402107,49	305850,98
34	591097,49	310427,10	518271,42	435629,85	294992,72	156547,27	560569,59	605732,93	520566,25	198355,40
35	237246,16	304818,10	470054,74	136423,93	181758,98	384426,12	448692,01	459807,72	555593,14	313581,03
36	278700,07	95005,27	107291,44	544520,47	606945,93	167664,89	384377,07	311704,53	531772,07	366995,75
37	305197,51	185120,42	216775,14	514983,12	95164,76	200327,59	192769,88	600715,01	617130,22	611605,23
38	108208,93	597949,58	132349,28	567256,83	194731,46	97947,81	322005,10	202065,14	296279,87	605565,35
39	156652,52	289149,72	630345,21	223968,73	598474,12	551033,74	391482,90	511170,82	506980,79	206806,31
40	98583,27	335671,30	290016,87	326207,71	263633,16	297848,19	437233,05	414193,30	540732,90	238509,23
41	304512,15	292306,64	502740,37	561878,43	363451,44	153055,59	590997,03	426303,60	484613,12	436211,37
42	635530,31	383185,00	624614,92	309861,55	339840,20	417755,40	614904,67	466710,69	126673,90	130818,47
43	354052,47	216661,16	230261,79	320636,05	602933,44	350096,01	623600,13	485507,69	329013,90	280260,05
44	105618,18	611041,13	133478,38	615018,61	120462,72	429671,23	212635,52	425291,22	582579,41	124642,25
45	400164,67	412292,85	153430,50	329226,41	356019,52	459070,95	178959,99	302583,76	563207,64	96111,60
46	409313,17	635038,11	303202,69	123161,52	417530,42	152645,99	264456,18	241649,05	201257,09	99576,35
47	193849,64	542694,95	622763,37	171576,77	481812,80	209885,66	620572,59	355162,92	163157,39	599346,37
48	376357,46	625870,73	251664,00	481509,41	516521,57	486213,43	419482,32	177375,66	133399,53	518430,24
49	461785,48	109018,42	561296,61	507669,06	498054,88	470028,44	103994,40	155474,12	503447,70	447144,35
50	181735,75	473795,24	212095,49	220315,39	345887,71	207607,16	374134,21	536685,14	165806,16	616458,22
51	615970,22	289368,35	104181,31	265322,71	311895,64	115891,69	321376,00	226079,04	250296,15	427062,81
52	562757,77	373129,84	476544,91	498784,01	185353,78	126759,54	406923,50	587391,92	424074,27	123754,98
53	238327,28	584622,58	151675,83	379127,08	445717,01	381690,83	242317,64	590766,69	584357,77	467451,85
54	632245,07	174265,88	467772,14	93806,81	329578,07	615260,24	349514,31	314321,73	341020,42	296098,44
55	90950,03	152481,03	349942,31	294073,14	353006,09	551561,20	111262,20	270497,29	464703,52	260478,80
56	513026,81	532216,07	263124,25	469679,35	230005,74	569948,46	523702,16	185553,98	500674,84	565856,83
57	460239,46	492709,40	581871,73	149904,84	479813,86	585316,34	579290,64	472086,84	241379,75	390458,89
58	461226,36	420207,82	511423,97	199268,38	456211,22	467292,90	336807,77	527984,58	149138,80	339955,08
59	586061,49	219317,83	219636,23	510655,69	125526,87	289570,47	538872,68	602355,68	632537,14	473325,21
